DATAHORA,ALTURA,INFLEXAO,t,T,n1,n2,h1,h2
2006-07-09 19:30:00,0.8714914239067053,False,247,350,1.9,0.6,0.20883955685131184,0.7911604431486882
2006-07-09 19:40:00,0.8265785842565596,False,257,350,1.9,0.6,0.17429121865889208,0.8257087813411079
2006-07-09 19:50:00,0.7846493014577256,False,267,350,1.9,0.6,0.14203792419825045,0.8579620758017495
2006-07-09 20:00:00,0.7460674239067056,False,277,350,1.9,0.6,0.11235955685131205,0.887640443148688
2006-07-09 20:10:00,0.7111967999999997,False,287,350,1.9,0.6,0.08553599999999983,0.9144640000000002
2006-07-09 20:20:00,0.6804012781341107,False,297,350,1.9,0.6,0.06184713702623901,0.938152862973761
2006-07-09 20:30:00,0.6540447067055394,False,307,350,1.9,0.6,0.04157285131195332,0.9584271486880467
2006-07-09 20:40:00,0.6324909341107873,False,317,350,1.9,0.6,0.024993026239067184,0.9750069737609328
2006-07-09 20:50:00,0.6161038087463557,False,327,350,1.9,0.6,0.012387545189504356,0.9876124548104956
2006-07-09 21:00:00,0.6052471790087466,False,337,350,1.9,0.6,0.004036291545189696,0.9959637084548103
2006-07-09 21:10:00,0.6002848932944608,False,347,350,1.9,0.6,0.00021914868804673304,0.9997808513119533
2006-07-09 21:13:00,0.6,True,0,0,,,,
2006-07-09 21:20:00,0.6016428652708238,False,7,364,0.6,2.1,0.9989047564861174,0.0010952435138825672
2006-07-09 21:30:00,0.6095097832520094,False,17,364,0.6,2.1,0.9936601444986604,0.006339855501339622
2006-07-09 21:40:00,0.6235348800909272,False,27,364,0.6,2.1,0.984310079939382,0.015689920060618045
2006-07-09 21:50:00,0.6433449328265021,False,37,364,0.6,2.1,0.9711033781156654,0.02889662188433472
2006-07-09 22:00:00,0.6685667184976599,False,47,364,0.6,2.1,0.9542888543348935,0.04571114566510655
2006-07-09 22:10:00,0.6988270141433255,False,57,364,0.6,2.1,0.9341153239044496,0.06588467609555038
2006-07-09 22:20:00,0.7337525968024248,False,67,364,0.6,2.1,0.9108316021317168,0.08916839786828316
2006-07-09 22:30:00,0.7729702435138827,False,77,364,0.6,2.1,0.8846865043240784,0.11531349567592172
2006-07-09 22:40:00,0.8161067313166244,False,87,364,0.6,2.1,0.8559288457889169,0.14407115421108296
2006-07-09 22:50:00,0.8627888372495757,False,97,364,0.6,2.1,0.8248074418336162,0.1751925581663838
2006-07-09 23:00:00,0.9126433383516617,False,107,364,0.6,2.1,0.7915711077655588,0.2084288922344411
2006-07-09 23:10:00,0.9652970116618076,False,117,364,0.6,2.1,0.7564686588921283,0.24353134110787172
2006-07-09 23:20:00,1.0203766342189389,False,127,364,0.6,2.1,0.7197489105207074,0.28025108947929256
2006-07-09 23:30:00,1.077508983061981,False,137,364,0.6,2.1,0.6816606779586795,0.3183393220413206
2006-07-09 23:40:00,1.136320835229859,False,147,364,0.6,2.1,0.6424527765134274,0.35754722348657264
2006-07-09 23:50:00,1.1964389677614984,False,157,364,0.6,2.1,0.6023740214923344,0.39762597850766557
